Date,Open,High,Low,Close,Adj Close,Volume
2018-08-14,6308.5,6550,6134,6245.5,6245.5,3003407756
2018-08-15,6245.5,6250,5860,6193.5,6193.5,4419829799
2018-08-16,6193.5,6641,6182,6266.5,6266.5,5404958496
2018-08-17,6266.5,6483,6206,6305.5,6305.5,3766769335
2018-08-18,6305.5,6589,6285,6578.5,6578.5,3534214700
2018-08-19,6578.5,6617,6280,6394,6394,2440423115
2018-08-20,6394,6562,6305.5,6487,6487,2283077876
2018-08-21,6487,6523,6210,6253.5,6253.5,2948442122
2018-08-22,6253.5,6503,6231.5,6467,6467,2929312061
2018-08-23,6467,7148,6231.5,6352,6352,4117998981
2018-08-24,6352,6578,6339,6521,6521,2262714475
2018-08-25,6521,6736,6435,6685.5,6685.5,2556547595
2018-08-26,6685.5,6797.5,6665.5,6727.5,6727.5,2157660895
2018-08-27,6727.5,6779.5,6570.5,6701.5,6701.5,2457480015
2018-08-28,6701.5,6973,6645.5,6906,6906,2481684071
2018-08-29,6906,7133,6862,7076.5,7076.5,3353816462
2018-08-30,7076.5,7120,6870,7032.5,7032.5,2782958037
2018-08-31,7032.5,7055.5,6782.5,6977,6977,3729305115
2018-09-01,6977,7087,6880,7017,7017,2937116125
2018-09-02,7017,7298,7016,7196.5,7196.5,2539940934
2018-09-03,7196.5,7350,7138,7295,7295,3429838907
2018-09-04,7295,7349.5,7180,7259.5,7259.5,2589505781
2018-09-05,7259.5,7440,7235.5,7355,7355,2638019686
2018-09-06,7355,7387,6633.5,6689,6689,4657038172
2018-09-07,6689,6709,6181,6487,6487,4459083786
2018-09-08,6487,6523,6323.5,6398,6398,2831018719
2018-09-09,6398,6468,6100,6180.5,6180.5,2169153899
2018-09-10,6180.5,6483.5,6140,6240,6240,1849595765
2018-09-11,6240,6385,6223,6300,6300,1952781855
2018-09-12,6300,6434.5,6140,6278.5,6278.5,2208501033
2018-09-13,6278.5,6345.5,6181,6322,6322,1947768858
2018-09-14,6322,6530,6321.5,6487.5,6487.5,2595041422
2018-09-15,6487.5,6585,6350,6478,6478,2451976268
2018-09-16,6478,6568,6463.5,6515.5,6515.5,1215015008
2018-09-17,6515.5,6516.5,6330.5,6493,6493,1285741467
2018-09-18,6493,6528.5,6201,6247,6247,2605439205
2018-09-19,6247,6380.5,6226.5,6328.5,6328.5,1771973276
2018-09-20,6328.5,6580,6066,6384.5,6384.5,2821848926
2018-09-21,6384.5,6520,6336.5,6482,6482,1616025470
